URL,Type,Subtype,Price,Bedroom,Living_area,Locality,Swimming_pool,Garden_area,Surface_of_land,Terrace,Kitchen
https://www.immoweb.be/en/classified/house/for-sale/brussels%20city/1000/10432231,house,house,499000,4,190.0,1000,False,,170,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/brussels%20city/1000/10526874,house,house,885000,5,330.0,1000,False,,0,True,installed
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10502717,house,house,395000,4,263.0,1000,False,,0,True,semi equipped
https://www.immoweb.be/en/classified/exceptional-property/for-sale/brussels%20city/1000/10625157,house,exceptional property,649000,3,230.0,1000,False,,0,True,usa hyper equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10618727,house,apartment block,2750000,13,706.0,1000,False,,421,True,hyper equipped
https://www.immoweb.be/en/classified/exceptional-property/for-sale/brussels%20city/1000/10123507,house,exceptional property,1050000,2,155.0,1000,False,20,50,True,usa installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10586494,house,apartment block,999000,6,700.0,1000,False,,0,True,usa uninstalled
https://www.immoweb.be/en/classified/apartment-block/for-sale/brussels%20city/1000/10656646,house,apartment block,489000,3,180.0,1000,False,,65,True,installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10313869,house,mixed use building,390000,2,175.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10313860,house,house,390000,2,175.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bruxelles/1000/10599038,house,exceptional property,595000,6,300.0,1000,False,,104,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10236755,house,apartment block,1420000,10,654.0,1000,False,,175,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10577513,house,apartment block,659000,7,285.0,1000,False,,0,True,semi equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10606631,house,apartment block,599000,4,385.0,1000,False,,0,True,semi equipped
https://www.immoweb.be/en/classified/villa/for-sale/brussels%20city/1000/10618443,house,villa,1050000,3,270.0,1000,False,700,929,True,installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10435396,house,mixed use building,1420000,8,587.0,1000,False,,129,True,usa hyper equipped
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10526299,house,mansion,779000,5,288.0,1000,False,75,0,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/brussels%20city/1000/10426095,house,house,1349000,6,420.0,1000,False,,410,True,usa hyper equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/9897322,house,apartment block,1520000,10,654.0,1000,False,,175,True,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10618728,house,house,375000,1,80.0,1000,False,15,0,True,usa hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/9962541,house,house,450000,1,100.0,1000,False,,30,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10661951,house,apartment block,750000,3,180.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10586490,house,apartment block,2200000,9,460.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/brussels%20city/1000/10635501,house,apartment block,2800000,0,650.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bruxelles/1000/10466601,house,exceptional property,350000,2,104.0,1000,False,,36,True,hyper equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10236756,house,apartment block,1300000,6,440.0,1000,False,,106,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/9897481,house,apartment block,1300000,6,440.0,1000,False,,106,True,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10665455,apartment,apartment,239000,1,46.0,2000,False,,,True,installed
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10665454,apartment,apartment,485000,1,54.0,2000,False,,,True,installed
https://www.immoweb.be/en/classified/villa/for-sale/eupen/4700/10665453,house,villa,890000,5,560.0,4700,False,3000,3433,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/puurs-sint-amands/2890/10665452,house,house,495000,3,180.0,2890,False,,0,True,
https://www.immoweb.be/en/classified/villa/for-sale/wielsbeke/8710/10665450,house,villa,550000,4,250.0,8710,False,,801,True,installed
